Term,Subj,Num,Dept Desc,Units,Cap,Enrolled,Yr
Fall,CSC,105,Computer Science,3.0,338.0,304.0,1
Fall,CSC,106,Computer Science,1.5,150.0,109.0,1
Fall,CSC,110,Computer Science,7.5,335.0,405.0,1
Fall,CSC,111,Computer Science,6.0,475.0,292.0,1
Fall,CSC,115,Computer Science,3.0,176.0,159.0,1
Fall,CSC,116,Computer Science,3.0,180.0,145.0,1
Fall,CSC,130,Computer Science,1.5,180.0,168.0,1
Fall,CSC,225,Computer Science,3.0,216.0,197.0,2
Fall,CSC,226,Computer Science,3.0,153.0,96.0,2
Fall,CSC,230,Computer Science,1.5,160.0,128.0,2
Fall,CSC,299,Computer Science,3.0,2.0,2.0,2
Fall,CSC,305,Computer Science,3.0,150.0,113.0,3
Fall,CSC,320,Computer Science,3.0,95.0,47.0,3
Fall,CSC,349A,Computer Science,3.0,215.0,206.0,3
Fall,CSC,355,Computer Science,3.0,137.0,110.0,3
Fall,CSC,360,Computer Science,3.0,175.0,144.0,3
Fall,CSC,361,Computer Science,3.0,120.0,71.0,3
Fall,CSC,370,Computer Science,4.5,180.0,157.0,3
Fall,CSC,375,Computer Science,3.0,135.0,114.0,3
Fall,CSC,411,Computer Science,3.0,45.0,47.0,4
Fall,CSC,421,Computer Science,3.0,166.0,152.0,4
Fall,CSC,425,Computer Science,3.0,30.0,15.0,4
Fall,CSC,466,Computer Science,3.0,50.0,36.0,4
Fall,CSC,482A,Computer Science,3.0,45.0,11.0,4
Fall,CSC,482B,Computer Science,1.5,8.0,7.0,4
Fall,CSC,485C,Computer Science,3.0,47.0,36.0,4
Fall,CSC,486B,Computer Science,3.0,45.0,10.0,4
Fall,CSC,490,Computer Science,1.5,1.0,1.0,4
Fall,CSC,497,Computer Science,12.0,8.0,8.0,4
Fall,CSC,499,Computer Science,3.0,2.0,2.0,4
Fall,ECE,216,Electrical & Computer Engg,1.5,60.0,30.0,2
Fall,ECE,241,Electrical & Computer Engg,3.0,120.0,120.0,2
Fall,ECE,250,Electrical & Computer Engg,1.5,250.0,150.0,2
Fall,ECE,255,Electrical & Computer Engg,1.5,145.0,127.0,2
Fall,ECE,260,Electrical & Computer Engg,3.0,148.0,117.0,2
Fall,ECE,335,Electrical & Computer Engg,1.5,4.0,0.0,3
Fall,ECE,350,Electrical & Computer Engg,1.5,100.0,77.0,3
Fall,ECE,355,Electrical & Computer Engg,1.5,180.0,145.0,3
Fall,ECE,356,Electrical & Computer Engg,3.0,60.0,40.0,3
Fall,ECE,360,Electrical & Computer Engg,1.5,140.0,78.0,3
Fall,ECE,365,Electrical & Computer Engg,1.5,160.0,127.0,3
Fall,ECE,370,Electrical & Computer Engg,1.5,115.0,72.0,3
Fall,ECE,380,Electrical & Computer Engg,1.5,115.0,64.0,3
Fall,ECE,399,Electrical & Computer Engg,1.5,110.0,84.0,3
Fall,ECE,403,Electrical & Computer Engg,1.5,20.0,15.0,4
Fall,ECE,412,Electrical & Computer Engg,1.5,17.0,12.0,4
Fall,ECE,463,Electrical & Computer Engg,1.5,55.0,24.0,4
Fall,ECE,484,Electrical & Computer Engg,3.0,35.0,16.0,4
Fall,ECE,490,Electrical & Computer Engg,3.0,2.0,2.0,4
Fall,SENG,265,Computer Science,3.0,215.0,198.0,2
Fall,SENG,310,Computer Science,3.0,78.0,76.0,3
Fall,SENG,321,Computer Science,3.0,72.0,67.0,3
Fall,SENG,350,Computer Science,3.0,85.0,71.0,3
Fall,SENG,360,Computer Science,3.0,100.0,81.0,3
Fall,SENG,474,Computer Science,3.0,78.0,50.0,4
Fall,SENG,480B,Computer Science,3.0,45.0,31.0,4
Fall,SENG,490,Computer Science,1.5,1.0,1.0,4
Spring,CSC,105,Computer Science,1.5,316.0,284.0,1
Spring,CSC,106,Computer Science,1.5,125.0,100.0,1
Spring,CSC,110,Computer Science,4.5,190.0,177.0,1
Spring,CSC,111,Computer Science,1.5,138.0,134.0,1
Spring,CSC,115,Computer Science,10.5,364.0,355.0,1
Spring,CSC,130,Computer Science,1.5,125.0,118.0,1
Spring,CSC,225,Computer Science,3.0,160.0,147.0,2
Spring,CSC,226,Computer Science,3.0,180.0,166.0,2
Spring,CSC,230,Computer Science,3.0,145.0,133.0,2
Spring,CSC,305,Computer Science,3.0,125.0,104.0,3
Spring,CSC,320,Computer Science,4.5,210.0,187.0,3
Spring,CSC,322,Computer Science,3.0,90.0,73.0,3
Spring,CSC,330,Computer Science,3.0,86.0,66.0,3
Spring,CSC,349A,Computer Science,3.0,337.0,302.0,3
Spring,CSC,350,Computer Science,1.5,75.0,65.0,3
Spring,CSC,360,Computer Science,3.0,150.0,95.0,3
Spring,CSC,361,Computer Science,1.5,150.0,52.0,3
Spring,CSC,370,Computer Science,3.0,150.0,116.0,3
Spring,CSC,411,Computer Science,3.0,38.0,36.0,4
Spring,CSC,429,Computer Science,3.0,72.0,27.0,4
Spring,CSC,446,Computer Science,3.0,98.0,96.0,4
Spring,CSC,473,Computer Science,3.0,76.0,42.0,4
Spring,CSC,482A,Computer Science,3.0,15.0,1.0,4
Spring,CSC,484D,Computer Science,1.5,25.0,17.0,4
Spring,CSC,485B,Computer Science,3.0,63.0,49.0,4
Spring,CSC,485E,Computer Science,3.0,47.0,26.0,4
Spring,CSC,490,Computer Science,1.5,1.0,1.0,4
Spring,CSC,497,Computer Science,12.0,8.0,8.0,4
Spring,CSC,499,Computer Science,3.0,2.0,2.0,4
Summer,CSC,110,Computer Science,4.5,83.0,69.0,1
Summer,CSC,115,Computer Science,3.0,78.0,91.0,1
Summer,CSC,130,Computer Science,3.0,60.0,36.0,1
Summer,CSC,225,Computer Science,3.0,75.0,58.0,2
Summer,CSC,226,Computer Science,3.0,100.0,74.0,2
Summer,CSC,230,Computer Science,3.0,65.0,46.0,2
Summer,CSC,320,Computer Science,3.0,141.0,120.0,3
Summer,CSC,360,Computer Science,3.0,95.0,69.0,3
Summer,CSC,370,Computer Science,3.0,113.0,85.0,3
Summer,CSC,445,Computer Science,3.0,120.0,96.0,4
Summer,CSC,482A,Computer Science,3.0,46.0,31.0,4
Summer,CSC,485C,Computer Science,3.0,85.0,50.0,4
Summer,CSC,490,Computer Science,1.5,1.0,0.0,4
Summer,CSC,497,Computer Science,6.0,4.0,4.0,4
Summer,CSC,499,Computer Science,7.5,5.0,5.0,4
Summer,ECE,216,Electrical & Computer Engg,1.5,250.0,122.0,2
Summer,ECE,220,Electrical & Computer Engg,1.5,90.0,60.0,2
Summer,ECE,242,Electrical & Computer Engg,1.5,36.0,28.0,2
Summer,ECE,250,Electrical & Computer Engg,1.5,60.0,15.0,2
Summer,ECE,260,Electrical & Computer Engg,3.0,115.0,68.0,2
Summer,ECE,299,Electrical & Computer Engg,3.0,180.0,126.0,2
Summer,ECE,310,Electrical & Computer Engg,3.0,80.0,26.0,3
Summer,ECE,403,Electrical & Computer Engg,1.5,60.0,13.0,4
Summer,ECE,410,Electrical & Computer Engg,1.5,70.0,33.0,4
