Subj,Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC,CSC 111,1.999041613169572,Fall,2019,1,Computer Science,400.0,346.0
CSC,CSC 115,1.6931088096308118,Fall,2019,1,Computer Science,150.0,130.0
CSC,CSC 115,1.6931088096308118,Summer,2019,1,Computer Science,115.0,86.0
CSC,CSC 225,1.7275489619388926,Fall,2019,2,Computer Science,215.0,197.0
CSC,CSC 225,1.7275489619388926,Summer,2019,2,Computer Science,145.0,63.0
CSC,CSC 226,1.9708523583261075,Fall,2019,2,Computer Science,140.0,87.0
CSC,CSC 226,1.9708523583261075,Summer,2019,2,Computer Science,120.0,91.0
CSC,CSC 230,1.3998959932087862,Fall,2019,2,Computer Science,200.0,149.0
CSC,CSC 230,1.3998959932087862,Summer,2019,2,Computer Science,115.0,53.0
CSC,CSC 320,1.7178123598648187,Fall,2019,3,Computer Science,174.0,166.0
CSC,CSC 320,1.7178123598648187,Summer,2019,3,Computer Science,136.0,123.0
CSC,CSC 355,1.7206580179726108,Fall,2019,3,Computer Science,140.0,130.0
CSC,CSC 360,1.3456002438068408,Fall,2019,3,Computer Science,148.0,142.0
CSC,CSC 361,1.6923897934450907,Fall,2019,3,Computer Science,150.0,144.0
CSC,CSC 370,1.3895797428588597,Fall,2019,3,Computer Science,150.0,135.0
CSC,CSC 370,1.3895797428588597,Summer,2019,3,Computer Science,80.0,78.0
ECE,ECE 255,1.9629606795033496,Fall,2019,2,Electrical & Computer Engg,120.0,83.0
ECE,ECE 260,1.9663242915222976,Fall,2019,2,Electrical & Computer Engg,144.0,122.0
ECE,ECE 260,1.9663242915222976,Summer,2019,2,Electrical & Computer Engg,130.0,111.0
ECE,ECE 310,1.7304337820681475,Summer,2019,3,Electrical & Computer Engg,95.0,33.0
ECE,ECE 355,1.6642114655157587,Fall,2019,3,Electrical & Computer Engg,154.0,150.0
ECE,ECE 360,1.6642114655157587,Fall,2019,3,Electrical & Computer Engg,117.0,101.0
SENG,SENG 265,1.7233466556873767,Fall,2019,2,Computer Science,215.0,199.0
SENG,SENG 265,1.7233466556873767,Summer,2019,2,Computer Science,115.0,84.0
