Term,CRN,Subj,Num,Section,Title,Sched Type,Instructor,Units,Camp,Bldg,Room,Begin,End,Days,Start Date,End Date,Cap,Enrolled,Dept Desc,Faculty,Status
202205,30871,ADMN,1,W01,CO-OP WORK TERM,WRK,TBD,4.5,OFF,,,,,,04-May-22,17-Aug-22,999,0,Public Administration,HS,A
202205,30001,ADMN,311,A01,INTRO TO PUBLIC ADMIN,LEC,"Ghadiri, Mohaddese",1.5,ONL,,,,,,04-May-22,29-Jul-22,17,13,Public Administration,HS,A
202205,30002,ADMN,312,A01,LEAD MANAGING PUBLIC&NONPROFIT,LEC,"Betiku, Tania",1.5,ONL,,,,,,04-May-22,29-Jul-22,35,14,Public Administration,HS,A
202205,30004,ADMN,411,A01,PUBLIC SECTOR PROJECT MNGMNT,LEC,"Vatne, Brian",1.5,ONL,,,,,,04-May-22,29-Jul-22,35,15,Public Administration,HS,A
202205,30005,ADMN,470,A01,CONTEMPORARY TOPICS:ADMN,L01,"Brunet-Jailly, Emmanuel",1.5,ONL,,,,,,04-May-22,29-Jul-22,25,0,Public Administration,HS,A
202205,31582,ADMN,477,A01,STRATEGIC PLAN+IMPLEMENTATION,LEC,"Hall, Jennifer",1.5,ONL,,,,,,04-May-22,29-Jul-22,35,9,Public Administration,HS,A
202205,30007,ADMN,509,A02,ECONOMICS FOR POLICY ANALYSIS,LEC,"Mokhtarzadeh, Fatemeh",1.5,ONL,,,,,,04-May-22,29-Jul-22,25,22,Public Administration,HS,A
202205,30006,ADMN,509,A01,ECONOMICS FOR POLICY ANALYSIS,LEC,"Rhodes, Katya",1.5,ONL,,,,,,04-May-22,29-Jul-22,25,25,Public Administration,HS,A
202205,30008,ADMN,512,A01,RESOURCE ACCOUNTABILITY,LEC,"Perez Pinan, Astrid",1.5,M,ECS,130,930,1220,W,04-May-22,29-Jul-22,25,21,Public Administration,HS,A
202205,30009,ADMN,523,A01,SPECIAL TOPICS IN PSM,L01,"Brunet-Jailly, Emmanuel",1.5,ONL,,,,,,04-May-22,29-Jul-22,15,1,Public Administration,HS,A
202205,30011,ADMN,550,A02,"STRATEGIC COMM'N, ENGAGEMENT",LEC,"Speers, Kimberly",1.5,ONL,,,,,,04-May-22,29-Jul-22,25,22,Public Administration,HS,A
202205,30010,ADMN,550,A01,"STRATEGIC COMM'N, ENGAGEMENT",LEC,"Speers, Kimberly",1.5,ONL,,,,,,04-May-22,29-Jul-22,25,25,Public Administration,HS,A
202205,30012,ADMN,557,A01,PUBLIC SECTOR RESEARCH METHODS,LEC,"Lepore, Walter",1.5,M,ECS,130,1300,1550,R,04-May-22,29-Jul-22,25,19,Public Administration,HS,A
202205,30014,ADMN,581,A02,QUANTITATIVE METHODS,LEC,"Hicks, Jason",1.5,ONL,,,,,,04-May-22,29-Jul-22,22,20,Public Administration,HS,A
202205,30013,ADMN,581,A01,QUANTITATIVE METHODS,LEC,"Hicks, Jason",1.5,ONL,,,,,,04-May-22,29-Jul-22,3,3,Public Administration,HS,A
202205,31816,ADMN,596,A01,EVALUATION PROJECT,LEC,TBD,3,ONL,,,,,,04-May-22,22-Aug-22,10,1,Public Administration,HS,A
202205,31793,ADMN,598,A02,MASTER'S PROJECT,LEC,TBD,4.5,OFF,,,,,,04-May-22,22-Aug-22,25,5,Public Administration,HS,A
202205,31792,ADMN,598,A01,MASTER'S PROJECT,LEC,TBD,4.5,M,,,,,,04-May-22,22-Aug-22,25,2,Public Administration,HS,A
202205,30015,ADMN,599,A01,MASTER'S THESIS,LEC,TBD,6,M,,,,,,04-May-22,29-Jul-22,150,29,Public Administration,HS,A
202205,30016,ADMN,599,A02,MASTER'S THESIS,LEC,TBD,6,ONL,,,,,,04-May-22,29-Jul-22,150,18,Public Administration,HS,A
202205,30017,ADMN,699,A01,DISSERTATION,LEC,TBD,30,M,,,,,,04-May-22,29-Jul-22,150,4,Public Administration,HS,A
202205,30018,ADMN,699,A02,DISSERTATION,LEC,TBD,30,ONL,,,,,,04-May-22,29-Jul-22,100,4,Public Administration,HS,A
202205,30872,ADMN,801,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,04-May-22,17-Aug-22,999,0,Public Administration,HS,A
202205,30873,ADMN,802,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,04-May-22,17-Aug-22,999,0,Public Administration,HS,A
202205,30874,ADMN,803,W01,CO-OP WORK TERM,WRK,TBD,3,OFF,,,,,,04-May-22,17-Aug-22,999,1,Public Administration,HS,A
