Course,TF_IDF,Term,Term Yr,Class Yr,Dept Desc,Cap,Enrolled
CSC 111,1.999486447111325,Fall,2019,1,Computer Science,400.0,346.0
CSC 115,1.71403712091437,Fall,2019,1,Computer Science,150.0,130.0
CSC 115,1.71403712091437,Summer,2019,1,Computer Science,115.0,86.0
CSC 225,1.7275489619388926,Fall,2019,2,Computer Science,215.0,197.0
CSC 225,1.7275489619388926,Summer,2019,2,Computer Science,145.0,63.0
CSC 226,1.964219322042673,Fall,2019,2,Computer Science,140.0,87.0
CSC 226,1.964219322042673,Summer,2019,2,Computer Science,120.0,91.0
CSC 230,1.3998962509915867,Fall,2019,2,Computer Science,200.0,149.0
CSC 230,1.3998962509915867,Summer,2019,2,Computer Science,115.0,53.0
CSC 320,1.7214958597388421,Fall,2019,3,Computer Science,174.0,166.0
CSC 320,1.7214958597388421,Summer,2019,3,Computer Science,136.0,123.0
CSC 355,1.7308329888157203,Fall,2019,3,Computer Science,140.0,130.0
CSC 360,1.3776586902754577,Fall,2019,3,Computer Science,148.0,142.0
CSC 361,1.6979191379867875,Fall,2019,3,Computer Science,150.0,144.0
CSC 370,1.3816453986983719,Fall,2019,3,Computer Science,150.0,135.0
CSC 370,1.3816453986983719,Summer,2019,3,Computer Science,80.0,78.0
ECE 255,1.953287291755551,Fall,2019,2,Electrical & Computer Engg,120.0,83.0
ECE 260,1.973912383230037,Fall,2019,2,Electrical & Computer Engg,144.0,122.0
ECE 260,1.973912383230037,Summer,2019,2,Electrical & Computer Engg,130.0,111.0
ECE 310,1.7202956500262858,Summer,2019,3,Electrical & Computer Engg,95.0,33.0
ECE 355,1.684129061737789,Fall,2019,3,Electrical & Computer Engg,154.0,150.0
ECE 360,1.6484827291912527,Fall,2019,3,Electrical & Computer Engg,117.0,101.0
SENG 265,1.7233466556873767,Fall,2019,2,Engineering & Computer Science,215.0,199.0
SENG 265,1.7233466556873767,Summer,2019,2,Engineering & Computer Science,115.0,84.0
SENG 275,1.3992783650726581,Fall,2019,2,Engineering & Computer Science,693.0,748.0
